job_id,description,status,created_at,started_at,completed_at,consumer_id
1,Rozmowa telefoniczna #1,in_progress,2025-12-14 14:22:11,2025-12-14 14:22:13,,2
2,Rozmowa telefoniczna #2,in_progress,2025-12-14 14:22:11,2025-12-14 14:22:13,,1
3,Rozmowa telefoniczna #3,done,2025-12-14 14:22:11,2025-12-14 14:22:14,2025-12-14 14:22:44,1
4,Rozmowa telefoniczna #4,done,2025-12-14 14:22:11,2025-12-14 14:22:55,2025-12-14 14:23:25,2
5,Rozmowa telefoniczna #5,done,2025-12-14 14:22:11,2025-12-14 14:22:55,2025-12-14 14:23:25,1
6,Rozmowa telefoniczna #6,done,2025-12-14 14:22:11,2025-12-14 14:22:55,2025-12-14 14:23:25,3
7,Rozmowa telefoniczna #7,done,2025-12-14 14:22:11,2025-12-14 14:23:30,2025-12-14 14:24:00,2
8,Rozmowa telefoniczna #8,done,2025-12-14 14:22:11,2025-12-14 14:23:30,2025-12-14 14:24:00,1
9,Rozmowa telefoniczna #9,done,2025-12-14 14:22:11,2025-12-14 14:23:30,2025-12-14 14:24:00,3
10,Rozmowa telefoniczna #10,done,2025-12-14 14:22:11,2025-12-14 14:24:05,2025-12-14 14:24:35,2
11,Rozmowa telefoniczna #11,done,2025-12-14 14:22:11,2025-12-14 14:24:05,2025-12-14 14:24:35,1
12,Rozmowa telefoniczna #12,done,2025-12-14 14:22:11,2025-12-14 14:24:05,2025-12-14 14:24:35,3
13,Rozmowa telefoniczna #13,done,2025-12-14 14:22:11,2025-12-14 14:24:40,2025-12-14 14:25:10,2
14,Rozmowa telefoniczna #14,done,2025-12-14 14:22:11,2025-12-14 14:24:40,2025-12-14 14:25:10,1
15,Rozmowa telefoniczna #15,done,2025-12-14 14:22:11,2025-12-14 14:24:40,2025-12-14 14:25:10,3
16,Rozmowa telefoniczna #16,in_progress,2025-12-14 14:22:11,2025-12-14 14:25:15,,2
17,Rozmowa telefoniczna #17,in_progress,2025-12-14 14:22:11,2025-12-14 14:25:15,,1
18,Rozmowa telefoniczna #18,in_progress,2025-12-14 14:22:11,2025-12-14 14:25:15,,3
19,Rozmowa telefoniczna #19,pending,2025-12-14 14:22:11,,,
20,Rozmowa telefoniczna #20,pending,2025-12-14 14:22:11,,,
21,Rozmowa telefoniczna #21,pending,2025-12-14 14:22:11,,,
22,Rozmowa telefoniczna #22,pending,2025-12-14 14:22:11,,,
23,Rozmowa telefoniczna #23,pending,2025-12-14 14:22:11,,,
24,Rozmowa telefoniczna #24,pending,2025-12-14 14:22:11,,,
25,Rozmowa telefoniczna #25,pending,2025-12-14 14:22:11,,,
26,Rozmowa telefoniczna #26,pending,2025-12-14 14:22:11,,,
